ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
DOV,-0.32,16,8,-3.04,0.08,3.46,3.19
DOW,-12.49,16,7,-3.72,0.32,3.8,2.68
DT,34.5,16,14,-3.75,1.65,8.35,8.67
DX,-2.4,16,4,-1.2,0.37,2.76,1.89
DXC,-8.88,16,14,-25.44,0.09,8.42,7.55
EAT,-11.34,16,11,-8.87,0.58,6.63,5.0
EBC,-7.62,16,10,-6.27,0.22,2.81,3.15
EDU,-21.88,16,11,-10.98,0.14,5.15,4.42
EFSC,1.48,16,7,-2.17,0.0,3.33,1.61
ELS,2.11,16,7,-2.1,0.11,2.56,1.96
ELV,-16.89,14,9,-8.78,0.25,3.8,3.95
EMN,-22.07,16,6,-4.01,0.25,2.97,1.87
ENVA,-9.14,16,10,-6.52,0.5,5.66,4.65
ETN,9.17,16,7,-1.31,0.44,3.07,2.73
EWBC,20.02,16,11,-2.6,0.32,4.76,4.23
EXP,-18.87,16,5,-3.08,0.09,2.9,1.02
EXTR,-34.35,16,11,-13.47,0.09,7.87,7.4
FAST,14.55,16,11,-3.69,0.18,4.56,3.94
FBK,4.17,16,8,-2.48,0.26,4.41,3.08
FBNC,7.47,16,8,-2.07,0.34,4.29,2.79
FBP,4.57,16,7,-1.83,0.1,3.3,2.62
FCF,-14.76,16,5,-2.71,0.1,1.93,0.91
FCNCA,-2.09,16,9,-4.16,0.06,5.71,4.69
FCX,5.38,16,9,-3.09,0.1,3.81,3.77
FFBC,14.41,16,10,-2.6,0.28,3.81,4.47
FFIN,-0.34,16,8,-3.04,0.08,2.82,3.18
FFIV,-25.36,16,9,-7.48,0.0,7.51,5.42
FHB,13.56,16,8,-1.3,0.09,3.12,3.33
FHI,2.41,16,8,-2.7,0.61,3.7,2.73
FIBK,-8.47,16,5,-2.13,0.03,2.72,2.26
FICO,15.5,16,11,-3.5,0.34,6.86,4.41
FITB,14.41,16,8,-1.2,0.78,3.06,3.02
FLG,1.36,4,3,-7.64,1.03,8.18,6.31
FNB,22.54,16,9,-0.64,0.39,3.17,3.13
FOR,-13.78,16,11,-9.36,0.12,7.24,8.66
FRME,-14.13,16,2,-1.44,0.07,1.96,1.94
FULT,7.89,16,8,-2.01,0.0,2.88,3.17
GABC,8.13,16,6,-0.99,0.0,2.15,1.88
GATX,1.12,16,9,-3.7,0.0,4.28,3.95
GBCI,11.37,16,8,-1.58,0.23,3.81,3.27
GD,0.69,16,7,-2.26,1.23,3.28,2.61
GE,15.29,16,12,-5.18,0.88,5.36,4.75
GEF,-9.61,16,7,-3.4,0.29,4.25,2.38
GEV,17.39,7,6,-0.61,2.5,6.57,4.97
GGG,3.32,16,8,-2.58,0.25,3.2,2.72
GIB,15.44,16,9,-1.65,0.13,3.0,3.19
GLW,14.61,16,10,-2.56,0.12,6.04,3.77
GM,20.43,16,12,-3.89,0.02,5.79,5.25
GNTX,0.49,16,10,-4.92,0.02,4.77,3.95
GPI,5.4,16,7,-1.73,0.0,4.46,2.13
HAL,-13.52,16,5,-2.59,0.17,2.79,1.93
HBAN,4.96,16,8,-2.38,0.09,3.26,2.92
HCA,-31.74,16,8,-6.97,0.07,4.27,3.02
HIG,-2.64,16,6,-2.06,0.14,2.54,2.15
HLI,2.64,16,7,-2.04,0.08,3.75,2.77
HOLX,-2.37,16,8,-3.3,0.11,3.7,2.76
HON,-8.01,16,8,-4.0,0.01,3.37,3.42
HTH,10.34,16,11,-4.53,0.37,4.78,5.1
HWC,20.38,16,9,-0.95,0.5,3.87,3.79
