ticker,conditional_result,earnings_count,hits,avg_loss_threshold_not_met,min_spike,avg_spike,median_spike
GL,0.46,16,6,-1.75,0.02,3.69,2.59
GLXY,1.76,2,1,-7.06,5.07,9.82,9.82
GOLD,-15.78,16,5,-2.8,0.02,1.87,1.26
GOOG,-12.35,16,10,-7.06,0.1,5.64,5.28
GOOGL,-13.07,16,10,-7.18,0.1,5.72,5.39
GOOS,-30.37,16,10,-10.06,0.93,8.54,4.81
GPK,-2.83,16,11,-7.17,0.38,4.44,4.49
GRC,-9.7,16,8,-4.21,0.0,3.99,3.27
GSK,11.27,16,6,-0.67,0.38,3.2,2.65
GTES,2.59,16,11,-6.08,0.08,5.07,4.42
GWW,1.62,16,10,-4.73,0.0,4.31,4.67
GXO,4.81,16,10,-4.2,0.22,4.05,3.47
HAE,-26.24,16,11,-11.85,1.18,8.73,5.93
HESM,4.22,16,6,-1.38,0.04,2.34,2.08
HI,-46.93,16,4,-4.91,0.13,3.76,0.68
HII,-48.92,16,7,-7.77,0.18,3.58,1.82
HIW,17.76,16,9,-1.32,0.02,3.03,3.33
HLNE,-5.03,16,8,-3.63,0.0,4.12,4.07
HMC,2.76,16,8,-2.65,0.32,2.91,2.87
HMN,3.96,16,9,-3.29,0.19,3.67,4.76
HNGE,-9.21,2,1,-12.21,2.83,16.06,16.06
HOG,27.59,16,13,-3.8,0.12,8.4,7.67
HOOD,-1.55,16,13,-13.52,1.09,9.1,9.18
HP,0.83,16,11,-6.43,0.16,5.43,4.34
HRB,0.9,16,9,-3.73,0.15,6.48,4.65
HSY,20.76,16,9,-0.89,0.47,3.54,3.31
HUBB,-12.91,16,7,-3.77,0.21,3.68,2.44
HUBG,1.79,16,9,-3.6,0.39,5.15,3.52
HYMC,29.69,16,13,-3.1,0.27,7.6,4.76
IAC,-17.44,16,10,-7.91,0.49,5.08,3.83
ICE,-3.17,16,6,-2.12,0.05,2.41,2.09
ICHR,-101.97,16,7,-13.66,0.18,5.67,1.62
IDCC,24.04,16,11,-1.79,0.07,7.38,7.74
IDXX,-0.75,16,9,-3.96,0.01,7.63,7.49
IDYA,-34.45,16,9,-8.78,0.16,6.21,3.98
IESC,12.61,16,13,-8.8,0.03,9.32,7.63
IEX,-13.51,16,9,-5.79,0.0,3.12,3.53
ILMN,-68.59,16,4,-6.72,0.95,4.38,1.55
IMKTA,-16.74,16,2,-1.62,0.14,1.71,1.45
IMVT,-7.81,16,8,-3.98,0.39,4.46,3.45
INCY,5.87,16,11,-5.43,0.2,5.05,4.38
INGR,-6.41,16,8,-3.8,0.06,4.01,2.99
INTA,28.57,16,14,-6.71,1.76,15.14,13.71
IQV,-3.53,16,8,-3.44,0.0,4.75,2.93
IRS,7.09,10,5,-1.58,0.92,3.32,2.71
IT,-5.44,16,11,-7.69,0.53,5.48,4.99
ITT,4.86,16,9,-3.16,0.03,3.43,3.5
ITW,-5.37,16,6,-2.34,0.04,2.85,2.1
IVT,12.0,16,5,-0.27,0.18,3.6,2.15
J,-9.42,16,8,-4.18,0.33,2.75,2.86
JCI,-26.19,16,7,-5.24,0.61,4.61,2.55
JJSF,-15.66,16,8,-4.96,0.29,5.55,3.3
JKHY,-12.0,16,7,-3.67,0.09,2.85,2.21
KAI,13.91,16,10,-2.68,0.0,4.72,5.31
KD,11.29,16,14,-15.35,0.82,11.41,10.02
KKR,7.52,16,11,-5.1,0.06,4.48,5.37
KLIC,12.47,16,11,-4.11,0.0,6.16,6.62
KMT,-16.75,16,9,-6.25,0.05,6.0,4.05
KN,-17.1,16,9,-6.3,0.11,5.92,3.83
KO,14.26,16,5,-0.07,0.68,2.58,2.3
KRC,4.06,16,7,-1.88,0.22,3.48,2.83
KVUE,0.3,10,5,-2.94,1.52,7.91,3.49
L,8.38,16,7,-1.4,0.02,3.22,2.62
LCII,8.61,16,9,-2.63,0.0,3.85,4.52
LEA,-11.19,16,7,-3.58,0.05,4.09,2.13
LEU,-35.62,16,11,-13.72,0.0,13.86,14.87
LIN,4.68,16,4,-0.61,0.0,1.87,1.18
LITE,-5.05,16,11,-7.61,0.23,8.89,7.39
